question,kpi,human_answer,model_answer
How does the company assess the materiality of sustainability issues?,Sustainability Strategy,The company (Allianz) provides the results of its materiality assessment on page 30 of its annual ESG report.,Allianz publishes its materiality assessment results on page 30 of the ESG report.
What are the company's greenhouse gas emission targets?,Climate Goals,"The company has committed to achieving net-zero emissions by 2050, with intermediate targets of 30% reduction by 2030.",The company aims for net-zero by 2050 with a 30% reduction target by 2030.
How does the company ensure board diversity?,Governance,The board maintains a 40% gender diversity quota and includes members from at least 5 different countries.,Board diversity includes 40% women and international representation from 5+ countries.
What is the company's water consumption reduction target?,Environmental Impact,"Water consumption reduced by 25% compared to 2020 baseline, with goal of 40% reduction by 2025.",The company has reduced water usage by 25% since 2020 and targets 40% reduction by 2025.
How many employees received ESG training in the reporting period?,Social Responsibility,12450 employees completed sustainability training modules during the fiscal year.,Approximately 12000 employees were trained on ESG topics this year.
What renewable energy percentage does the company use?,Energy Management,"The company sources 78% of its electricity from renewable sources, up from 65% in the previous year.",78% of electricity comes from renewable sources compared to 65% last year.
How does the company handle supply chain sustainability?,Supply Chain,All tier-1 suppliers undergo annual ESG audits and must comply with the supplier code of conduct.,Tier-1 suppliers are audited annually for ESG compliance and must follow the code of conduct.
What is the company's employee turnover rate?,Human Resources,The voluntary turnover rate was 8.3% in 2023 compared to industry average of 12%.,Employee turnover stood at 8.3% versus the 12% industry benchmark.
How much did the company invest in community programs?,Community Investment,"$45 million invested in community development programs, focusing on education and health initiatives.",$45M was allocated to community programs with emphasis on education and healthcare.
What percentage of waste is diverted from landfills?,Waste Management,"92% of operational waste is recycled or composted, exceeding the 85% target.",The company diverts 92% of waste from landfills through recycling and composting programs.
